Business Statistics Marks,Calculus Marks,Midterm Marks
65,85,59
71,74,71
66,68,67
79,85,68
65,62,72
82,79,73
80,71,81
86,62,77
67,83,75
64,87,69
62,51,63
74,62,80
67,78,67
72,56,79
68,74,66
81,81,90
53,65,61
70,69,57
76,81,68
73,73,79
73,81,76
85,58,73
83,81,79
80,51,85
67,45,76
78,77,68
68,68,58
67,52,74
62,56,59
83,66,86
72,51,54
85,87,92
72,90,88
77,70,82
64,64,66
77,78,86
89,72,84
87,68,68
78,59,82
79,83,57
59,65,60
63,61,63
84,69,70
74,62,65
74,54,71
59,59,67
66,52,74
71,74,88
68,91,55
72,58,63
75,46,68
74,71,67
77,78,68
69,56,69
60,59,65
92,75,81
69,54,60
69,76,71
73,71,63
65,40,78
